root,strategy,total_count,class_distribution
1728416,partial_synonym_descendants,3625,11DigitNdc:453; ClinicalDrug:297; ClinicalDrugBox:297; QuantClinicalBox:279; QuantBrandedBox:274; MarketedProduct:260; BrandedDrugBox:254; BrandedDrug:233; BrandedDrugComp:189; QuantClinicalDrug:181; ClinicalDrugComp:171; QuantBrandedDrug:169; PharmabiolProduct:142; BrandedDrugForm:132; ClinicalDrugForm:62; PrescriptionDrug:48; 9DigitNdc:47; BrandedDoseGroup:27; Atc5th:25; Spl:17; Hcpcs:10; ClinicalDoseGroup:10; Ingredient:9; Substance:9; MultipleIngredients:7; BrandedPackBox:7; ClinicalPackBox:7; PreciseIngredient:4; BrandedPack:2; ClinicalPack:2; Procedure:1
1728416,hierarchy_and_sameas,343,ClinicalDrug:92; ClinicalDrugComp:72; BrandedDrug:35; BrandedDrugComp:33; BrandedDrugForm:28; BrandedDoseGroup:27; QuantClinicalDrug:16; ClinicalDrugForm:14; QuantBrandedDrug:12; ClinicalDoseGroup:10; Ingredient:1; LoincComponent:1; Substance:1; PharmabiolProduct:1
1728416,sameas_expansion_and_umls_rb,168,ClinicalDrug:36; Substance:28; BrandName:25; PreciseIngredient:17; LoincComponent:14; PharmabiolProduct:13; Ingredient:11; BrandedDrug:10; MultipleIngredients:7; QuantClinicalDrug:3; ClinicalPack:1; BrandedPack:1; Answer:1; BrandedDrugForm:1
1728416,sameas_expansion_and_umls_rb_or_par,1290,LabTest:257; ClinicalDrug:251; LoincHierarchy:152; ClinicalDrugForm:131; PharmabiolProduct:86; Substance:79; LoincComponent:68; PreciseIngredient:43; BrandedDrug:38; Ingredient:33; BrandName:29; ClinicalDoseGroup:29; BrandedDrugForm:22; MultipleIngredients:21; BrandedDoseGroup:20; QuantClinicalDrug:14; QuantBrandedDrug:8; ClinicalPack:4; BrandedPack:4; Answer:1
1728416,dual_semantic_expansion,378477,OtcDrug:89096; PrescriptionDrug:61482; Disorder:32025; BodyStructure:15905; Procedure:13670; Organism:11661; Substance:9984; ClinicalDrug:9409; ClinicalObservation:8157; Survey:7119; LabTest:6929; Icd10Code:6514; 5DigBillingCode:6265; ClinicalDrugComp:5573; ClinicalFinding:4993; LoincComponent:4841; LoincHierarchy:4784; BrandedDrugComp:4564; BrandName:4382; Ingredient:4317; ClinicalDrugForm:3893; BrandedDoseGroup:3839; 4CharBillingCode:3740; 4DigBillingCode:3585; BrandedDrug:3512; BrandedDrugForm:2918; PharmabiolProduct:2856; ClinicalDoseGroup:2734; Answer:2612; PreciseIngredient:2528; 5CharBillingCode:2351; 4CharNonbillCode:2109; Atc5th:2054; 5CharNonbillCode:2026; MorphAbnormality:1859; LoincGroup:1716; PhysicalObject:1597; QuantClinicalDrug:1484; Icd10Hierarchy:1383; 4DigNonbillCode:1315; 6CharBillingCode:1259; ObservableEntity:1227; Device:1159; 3CharNonbillCode:1093; QuantBrandedDrug:1064; 6CharNonbillCode:1046; LoincSystem:931; Atc4th:767; 3DigNonbillCode:719; Event:708; 4DigBillingECode:703; QualifierValue:648; MultipleIngredients:644; Icd10pcsHierarchy:537; BrandedPack:396; ClinicalPack:302; Atc3rd:240; LoincMethod:231; DoseForm:229; LoincClass:219; Vaccine:213; SocialContext:210; ClaimsAttachment:209; 3CharBillingCode:179; Hcpcs:171; PlasmaDerivative:162; Icd10pcs:162; Supplement:139; ContextDependent:139; 4DigBillingVCode:126; Atc2nd:90; 7CharBillingCode:88; 3DigBillingCode:82; NaviConcept:69; Attribute:63; 3DigNonbillECode:60; StagingScales:53; 5DigBillingVCode:53; Cohort:50; DoseFormGroup:43; HcpcsModifier:40; Location:32; Specimen:24; 4DigNonbillVCode:24; PhysicalForce:17; LoincProperty:14; Atc1st:14; Cosmetic:10; NonStandAllergenic:9; 3DigNonbillVCode:8; 3DigBillingECode:6; StandardAllergenic:4; RecordArtifact:3; LoincTime:2; Disposition:2; 2DigNonbillCode:1; AnimalDrug:1; 3DigBillingVCode:1; Icd9cmCode:1
4012185,lexical_baseline,377,
4012185,descendants_only,17122,Icd10pcs:12898; Procedure:4017; 4DigBillingCode:132; Hcpcs:49; 3DigNonbillCode:19; Icd10pcsHierarchy:4; 2DigNonbillCode:2; 3DigBillingCode:1
4012185,partial_synonym_descendants,20110,Icd10pcs:12898; Procedure:6590; Undefined:260; 4DigBillingCode:258; Hcpcs:57; 3DigNonbillCode:31; Icd10pcsHierarchy:4; 3DigBillingCode:4; 2DigNonbillCode:3; Disorder:2; Icd10Code:2; 4CharBillingCode:1
4012185,hierarchy_and_sameas,17138,Icd10pcs:12898; Procedure:4019; 4DigBillingCode:132; Hcpcs:49; 3DigNonbillCode:19; Answer:7; Icd10pcsHierarchy:4; LoincComponent:3; LoincMethod:2; 2DigNonbillCode:2; ContextDependent:2; 3DigBillingCode:1
4012185,sameas_expansion_and_umls_rb,2485,Substance:447; BrandName:357; Ingredient:297; PharmabiolProduct:255; ClinicalDrug:238; Procedure:193; PreciseIngredient:164; BrandedDrug:136; QuantBrandedDrug:102; LoincComponent:96; QuantClinicalDrug:92; Answer:28; MultipleIngredients:22; BrandedDrugForm:13; ClinicalDrugForm:8; PhysicalObject:8; ClinicalPack:5; Hcpcs:5; Icd10pcs:4; BrandedDoseGroup:4; BrandedPack:3; Disorder:2; LoincMethod:1; 4CharBillingCode:1; ClinicalDoseGroup:1; LoincHierarchy:1; QualifierValue:1; Icd10Code:1
4012185,sameas_expansion_and_umls_rb_or_par,932913,Icd10pcsHierarchy:113142; Disorder:91088; Icd10pcs:79115; Procedure:60521; LabTest:59768; 7CharBillingCode:47933; LoincHierarchy:41588; BodyStructure:37309; ClinicalFinding:36806; Organism:34770; LoincComponent:31928; Substance:27844; ClinicalObservation:27236; ClinicalDrug:18356; PhysicalObject:14007; Survey:12202; ClinicalDrugForm:11970; QualifierValue:11046; 6CharBillingCode:10281; PharmabiolProduct:10086; Icd10Code:9982; 6CharNonbillCode:8667; ObservableEntity:8388; 5DigBillingCode:8212; Ingredient:7652; Hcpcs:7160; 5CharBillingCode:7114; 5CharNonbillCode:7052; Answer:6010; BrandedDrug:5811; ContextDependent:5529; 4CharBillingCode:5391; MorphAbnormality:5133; BrandName:5061; 4CharNonbillCode:4480; SocialContext:4237; BrandedDrugForm:4087; 4DigBillingCode:3863; Event:3392; BrandedDoseGroup:3381; PreciseIngredient:3362; ClinicalDoseGroup:2935; QuantClinicalDrug:2477; LoincSystem:2142; Icd10Hierarchy:2033; QuantBrandedDrug:1969; Location:1901; Specimen:1862; 4DigNonbillCode:1730; StagingScales:1723; 3CharNonbillCode:1652; MultipleIngredients:1374; 4DigBillingECode:1247; Attribute:1194; 3DigNonbillCode:836; LoincMethod:691; 5DigBillingVCode:634; DoseForm:617; BrandedPack:587; NaviConcept:523; ClaimsAttachment:512; 4DigBillingVCode:474; RecordArtifact:453; ClinicalPack:441; Disposition:384; HcpcsModifier:363; 3CharBillingCode:211; PhysicalForce:172; 3DigNonbillECode:171; 4DigNonbillVCode:159; LoincProperty:110; 3DigBillingCode:92; 3DigNonbillVCode:89; LoincGroup:67; 3DigBillingECode:44; LoincTime:22; BrandedDrugComp:17; ModelComp:12; ClinicalDrugComp:11; LinkageAssertion:8; LoincScale:6; DoseFormGroup:5; LinkageConcept:1; 3DigBillingVCode:1; Icd9cmCode:1
4012185,dual_semantic_expansion,378477,OtcDrug:89096; PrescriptionDrug:61482; Disorder:32025; BodyStructure:15905; Procedure:13670; Organism:11661; Substance:9984; ClinicalDrug:9409; ClinicalObservation:8157; Survey:7119; LabTest:6929; Icd10Code:6514; 5DigBillingCode:6265; ClinicalDrugComp:5573; ClinicalFinding:4993; LoincComponent:4841; LoincHierarchy:4784; BrandedDrugComp:4564; BrandName:4382; Ingredient:4317; ClinicalDrugForm:3893; BrandedDoseGroup:3839; 4CharBillingCode:3740; 4DigBillingCode:3585; BrandedDrug:3512; BrandedDrugForm:2918; PharmabiolProduct:2856; ClinicalDoseGroup:2734; Answer:2612; PreciseIngredient:2528; 5CharBillingCode:2351; 4CharNonbillCode:2109; Atc5th:2054; 5CharNonbillCode:2026; MorphAbnormality:1859; LoincGroup:1716; PhysicalObject:1597; QuantClinicalDrug:1484; Icd10Hierarchy:1383; 4DigNonbillCode:1315; 6CharBillingCode:1259; ObservableEntity:1227; Device:1159; 3CharNonbillCode:1093; QuantBrandedDrug:1064; 6CharNonbillCode:1046; LoincSystem:931; Atc4th:767; 3DigNonbillCode:719; Event:708; 4DigBillingECode:703; QualifierValue:648; MultipleIngredients:644; Icd10pcsHierarchy:537; BrandedPack:396; ClinicalPack:302; Atc3rd:240; LoincMethod:231; DoseForm:229; LoincClass:219; Vaccine:213; SocialContext:210; ClaimsAttachment:209; 3CharBillingCode:179; Hcpcs:171; PlasmaDerivative:162; Icd10pcs:162; Supplement:139; ContextDependent:139; 4DigBillingVCode:126; Atc2nd:90; 7CharBillingCode:88; 3DigBillingCode:82; NaviConcept:69; Attribute:63; 3DigNonbillECode:60; StagingScales:53; 5DigBillingVCode:53; Cohort:50; DoseFormGroup:43; HcpcsModifier:40; Location:32; Specimen:24; 4DigNonbillVCode:24; PhysicalForce:17; LoincProperty:14; Atc1st:14; Cosmetic:10; NonStandAllergenic:9; 3DigNonbillVCode:8; 3DigBillingECode:6; StandardAllergenic:4; RecordArtifact:3; LoincTime:2; Disposition:2; 2DigNonbillCode:1; AnimalDrug:1; 3DigBillingVCode:1; Icd9cmCode:1
4002167,lexical_baseline,1,
4002167,descendants_only,2,Procedure:2
4002167,partial_synonym_descendants,2,Procedure:2
4002167,hierarchy_and_sameas,2,Procedure:2
4002167,sameas_expansion_and_umls_rb,1,Procedure:1
4002167,sameas_expansion_and_umls_rb_or_par,2,Procedure:2
4002167,dual_semantic_expansion,378478,OtcDrug:89096; PrescriptionDrug:61482; Disorder:32025; BodyStructure:15905; Procedure:13671; Organism:11661; Substance:9984; ClinicalDrug:9409; ClinicalObservation:8157; Survey:7119; LabTest:6929; Icd10Code:6514; 5DigBillingCode:6265; ClinicalDrugComp:5573; ClinicalFinding:4993; LoincComponent:4841; LoincHierarchy:4784; BrandedDrugComp:4564; BrandName:4382; Ingredient:4317; ClinicalDrugForm:3893; BrandedDoseGroup:3839; 4CharBillingCode:3740; 4DigBillingCode:3585; BrandedDrug:3512; BrandedDrugForm:2918; PharmabiolProduct:2856; ClinicalDoseGroup:2734; Answer:2612; PreciseIngredient:2528; 5CharBillingCode:2351; 4CharNonbillCode:2109; Atc5th:2054; 5CharNonbillCode:2026; MorphAbnormality:1859; LoincGroup:1716; PhysicalObject:1597; QuantClinicalDrug:1484; Icd10Hierarchy:1383; 4DigNonbillCode:1315; 6CharBillingCode:1259; ObservableEntity:1227; Device:1159; 3CharNonbillCode:1093; QuantBrandedDrug:1064; 6CharNonbillCode:1046; LoincSystem:931; Atc4th:767; 3DigNonbillCode:719; Event:708; 4DigBillingECode:703; QualifierValue:648; MultipleIngredients:644; Icd10pcsHierarchy:537; BrandedPack:396; ClinicalPack:302; Atc3rd:240; LoincMethod:231; DoseForm:229; LoincClass:219; Vaccine:213; SocialContext:210; ClaimsAttachment:209; 3CharBillingCode:179; Hcpcs:171; PlasmaDerivative:162; Icd10pcs:162; Supplement:139; ContextDependent:139; 4DigBillingVCode:126; Atc2nd:90; 7CharBillingCode:88; 3DigBillingCode:82; NaviConcept:69; Attribute:63; 3DigNonbillECode:60; StagingScales:53; 5DigBillingVCode:53; Cohort:50; DoseFormGroup:43; HcpcsModifier:40; Location:32; Specimen:24; 4DigNonbillVCode:24; PhysicalForce:17; LoincProperty:14; Atc1st:14; Cosmetic:10; NonStandAllergenic:9; 3DigNonbillVCode:8; 3DigBillingECode:6; StandardAllergenic:4; RecordArtifact:3; LoincTime:2; Disposition:2; 2DigNonbillCode:1; AnimalDrug:1; 3DigBillingVCode:1; Icd9cmCode:1
316866,lexical_baseline,993,
316866,descendants_only,142,Disorder:142
